nama_kos,kecamatan,harga_sewa,k_kamar_mandi,WiFi,AC,akses_24_jam
Kost Sekar Kedaton Ngaglik Yogyakarta RMZ,Ngaglik,1350000,K. Mandi Dalam,WiFi,AC,Akses 24 Jam
Kost Apik Jasmine Tipe E UII Yogyakarta,Ngaglik,957000,K. Mandi Dalam,WiFi,Tidak AC,Tidak Akses 24 Jam
Kost D'Panda House Ngemplak Sleman,Ngemplak,1500000,K. Mandi Dalam,WiFi,AC,Akses 24 Jam
Kost ARIZKA Ngaglik Sleman,Ngaglik,1200000,K. Mandi Dalam,WiFi,AC,Akses 24 Jam
Kost Kazoku Ngaglik Sleman,Ngaglik,850000,K. Mandi Dalam,WiFi,AC,Akses 24 Jam
Kost Rumah Ungu UII Kaliurang Ngemplak Sleman,Ngemplak,1600000,K. Mandi Dalam,WiFi,AC,Tidak Akses 24 Jam
Kost Omah Salsabila Ngaglik Sleman,Ngaglik,1500000,K. Mandi Dalam,WiFi,AC,Tidak Akses 24 Jam
Kost House Of Nabilla Tipe A Ngaglik Sleman,Ngaglik,1300000,K. Mandi Dalam,WiFi,AC,Akses 24 Jam
Kost Rumah Salam 2 Ngemplak Sleman,Ngemplak,1200000,K. Mandi Dalam,WiFi,AC,Tidak Akses 24 Jam
Kost Zaroh Tipe A Ngaglik Sleman,Ngaglik,650000,K. Mandi Dalam,WiFi,Tidak AC,Tidak Akses 24 Jam
Kost Alfada Syadi Tipe B Ngemplak Sleman,Ngemplak,1400000,K. Mandi Dalam,WiFi,AC,Akses 24 Jam
Kost Alfada Syadi Tipe A Ngemplak Sleman,Ngemplak,1350000,K. Mandi Dalam,WiFi,AC,Akses 24 Jam
Kost Zaroh Tipe B Ngaglik Sleman,Ngaglik,450000,K. Mandi Luar,WiFi,Tidak AC,Tidak Akses 24 Jam
Kost Alfada Syadi Tipe C Ngemplak Sleman,Ngemplak,1350000,K. Mandi Dalam,WiFi,AC,Akses 24 Jam
Kost GTA Luxury Ngaglik Sleman,Ngaglik,2500000,K. Mandi Dalam,WiFi,AC,Akses 24 Jam
Kost Candirejo Ngaglik Sleman,Ngaglik,370000,K. Mandi Dalam,Tidak Ada WiFi,Tidak AC,Tidak Akses 24 Jam
Kost Muslim Dekat Kampus UII Ngaglik Sleman,Ngaglik,360000,K. Mandi Dalam,Tidak Ada WiFi,Tidak AC,Akses 24 Jam
Kost Yunas Ngaglik Sleman,Ngaglik,667000,K. Mandi Dalam,WiFi,Tidak AC,Tidak Akses 24 Jam
Kost Hikaru Tipe VIP Ngaglik Sleman,Ngaglik,850000,K. Mandi Dalam,WiFi,Tidak AC,Akses 24 Jam
Kost Griya Vania Tipe A Ngaglik Sleman,Ngaglik,750000,K. Mandi Dalam,Tidak Ada WiFi,Tidak AC,Tidak Akses 24 Jam
Kost Serai Putih Tipe Kosongan Ngaglik Sleman,Ngaglik,700000,K. Mandi Dalam,WiFi,Tidak AC,Akses 24 Jam
Kost Griya Kamila Tipe A Ngemplak Sleman,Ngemplak,850000,K. Mandi Dalam,WiFi,Tidak AC,Akses 24 Jam
Kost Rahayu Ngaglik Sleman,Ngaglik,600000,K. Mandi Dalam,WiFi,Tidak AC,Tidak Akses 24 Jam
Kost Kuning Ngaglik Sleman,Ngaglik,650000,K. Mandi Dalam,WiFi,Tidak AC,Akses 24 Jam
Kost Dewi Upadi UII Pusat Ngemplak Sleman,Ngemplak,1250000,K. Mandi Dalam,WiFi,AC,Akses 24 Jam
Kost Hikaru Tipe C Ngaglik Sleman,Ngaglik,700000,K. Mandi Luar,WiFi,Tidak AC,Akses 24 Jam
Kost Teratai 2 UII Ngemplak Sleman,Ngemplak,600000,K. Mandi Dalam,WiFi,Tidak AC,Akses 24 Jam
Kost Griya Kamila Tipe B Ngemplak Sleman,Ngemplak,950000,K. Mandi Dalam,WiFi,Tidak AC,Akses 24 Jam
Kost Exclusive Paramon Ngaglik Sleman,Ngaglik,1200000,K. Mandi Dalam,WiFi,AC,Akses 24 Jam
Kost Pondok Putri Winqink UII Ngemplak Sleman,Ngemplak,550000,K. Mandi Luar,WiFi,Tidak AC,Tidak Akses 24 Jam
Kost Eksklusif Rumahku UII Ngemplak Sleman,Ngemplak,1250000,K. Mandi Dalam,WiFi,AC,Akses 24 Jam
Kost Griya Kinanti Ngaglik Sleman,Ngaglik,1500000,K. Mandi Dalam,WiFi,AC,Tidak Akses 24 Jam
Kost Keiko Ngaglik Sleman,Ngaglik,950000,K. Mandi Dalam,WiFi,Tidak AC,Tidak Akses 24 Jam
Kost Villa Selaras Dekat UII Ngemplak Sleman,Ngemplak,770000,K. Mandi Dalam,WiFi,Tidak AC,Akses 24 Jam
Kost Al Jannah Ngaglik Sleman,Ngaglik,1000000,K. Mandi Dalam,WiFi,AC,Akses 24 Jam
Kost Exclusive Omah Poetri  Ngemplak Sleman,Ngemplak,1250000,K. Mandi Dalam,WiFi,AC,Akses 24 Jam
Kost SM Eksklusif Ngaglik Sleman,Ngaglik,1400000,K. Mandi Dalam,WiFi,AC,Akses 24 Jam
Kost Zam Zam Tipe A Ngemplak Sleman,Ngemplak,1000000,K. Mandi Dalam,WiFi,Tidak AC,Akses 24 Jam
Kost Wisma Ratih Ngaglik Sleman,Ngaglik,500000,K. Mandi Luar,Tidak Ada WiFi,Tidak AC,Tidak Akses 24 Jam
Kost Serai Putih Tipe A Ngaglik Sleman,Ngaglik,900000,K. Mandi Dalam,WiFi,Tidak AC,Tidak Akses 24 Jam
Kost Ersyadha 2 Club House Ngemplak Sleman,Ngemplak,1300000,K. Mandi Dalam,WiFi,AC,Tidak Akses 24 Jam
Kost Exclusive UII Murah Ngemplak Sleman,Ngemplak,1400000,K. Mandi Dalam,WiFi,AC,Akses 24 Jam
Kost Temata Tipe Executive Ngemplak Sleman,Ngemplak,1575000,K. Mandi Dalam,WiFi,AC,Tidak Akses 24 Jam
Kost Rumah Sya'adah Ngemplak Sleman,Ngemplak,750000,K. Mandi Dalam,WiFi,Tidak AC,Tidak Akses 24 Jam
Kost Pink House Ngemplak Sleman,Ngemplak,700000,K. Mandi Dalam,WiFi,Tidak AC,Akses 24 Jam
Kost Putri Griya Sekar Jalan Kaliurang km 13 Ngaglik Sleman Yogyakarta,Ngaglik,650000,K. Mandi Dalam,WiFi,Tidak AC,Akses 24 Jam
Kost Wisma Bunda Tipe Exclusive Ngemplak Sleman,Ngemplak,1400000,K. Mandi Dalam,WiFi,AC,Akses 24 Jam
Kost Timagoya Residence Tipe A Ngemplak Sleman,Ngemplak,1900000,K. Mandi Dalam,WiFi,AC,Tidak Akses 24 Jam
Kost Timagoya Residence Tipe B Ngemplak Sleman,Ngemplak,2000000,K. Mandi Dalam,WiFi,AC,Tidak Akses 24 Jam
Kost Serai Putih Tipe C Ngaglik Sleman,Ngaglik,1400000,K. Mandi Dalam,WiFi,Tidak AC,Tidak Akses 24 Jam
Kost Serai Putih Tipe B Ngaglik Sleman,Ngaglik,1000000,K. Mandi Dalam,WiFi,Tidak AC,Tidak Akses 24 Jam
Kost T2 Eksklusif Ngemplak Sleman,Ngemplak,1400000,K. Mandi Dalam,WiFi,AC,Akses 24 Jam
Kost Puri Anggrek Ngemplak Sleman,Ngemplak,450000,K. Mandi Luar,WiFi,Tidak AC,Akses 24 Jam
Kost Shafa Marwah Ngemplak Sleman,Ngemplak,1125000,K. Mandi Dalam,WiFi,AC,Tidak Akses 24 Jam
Kost Madira Ngaglik Sleman,Ngaglik,650000,K. Mandi Luar,WiFi,Tidak AC,Akses 24 Jam
Kost Eyang Cantik Tipe A Ngemplak Sleman,Ngemplak,760000,K. Mandi Dalam,WiFi,Tidak AC,Tidak Akses 24 Jam
Kost Green Azizah Tipe B Ngemplak Sleman,Ngemplak,600000,K. Mandi Dalam,WiFi,Tidak AC,Akses 24 Jam
Kost Denta 2 Tipe A Ngaglik Sleman,Ngaglik,715000,K. Mandi Dalam,WiFi,Tidak AC,Tidak Akses 24 Jam
Kost Adani Muslimah Ngaglik Sleman,Ngaglik,450000,K. Mandi Luar,WiFi,Tidak AC,Akses 24 Jam
Kost Ismoyo UII Jakal Ngaglik Sleman,Ngaglik,575000,K. Mandi Dalam,WiFi,Tidak AC,Akses 24 Jam
